[2020-07-09 10:51:35,264] - INFO: ========测试完成========
[2020-07-09 10:57:23,624] - INFO: ========初始化测试环境========
[2020-07-09 10:57:23,795] - INFO: 获取设备系统版本号成功...
[2020-07-09 10:57:23,855] - INFO: 获取设备名成功...
[2020-07-09 10:57:24,052] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 10:57:24,053] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 10:57:24,065] - INFO: desired_caps更新完成...
[2020-07-09 10:57:24,072] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 10:57:24,399] - INFO: 应用已安装...
[2020-07-09 10:57:25,230] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 10:57:36,350] - INFO: 驱动app打开成功...
[2020-07-09 10:58:07,171] - INFO: 登录成功，进入首页...
[2020-07-09 10:58:07,171] - INFO: 验证批量修改设备
[2020-07-09 10:58:34,355] - INFO: ========测试完成========
[2020-07-09 11:07:18,263] - INFO: ========初始化测试环境========
[2020-07-09 11:07:18,493] - INFO: 获取设备系统版本号成功...
[2020-07-09 11:07:18,556] - INFO: 获取设备名成功...
[2020-07-09 11:07:18,794] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 11:07:18,795] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 11:07:18,809] - INFO: desired_caps更新完成...
[2020-07-09 11:07:18,815] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 11:07:19,225] - INFO: 应用已安装...
[2020-07-09 11:07:20,196] - INFO: -----开始执行用例：批量修改、批量启动设备-----
[2020-07-09 11:07:30,835] - INFO: 驱动app打开成功...
[2020-07-09 11:08:01,039] - INFO: 登录成功，进入首页...
[2020-07-09 11:08:01,041] - INFO: 验证批量修改设备
[2020-07-09 11:08:26,697] - INFO: ========测试完成========
[2020-07-09 11:08:40,551] - INFO: ========初始化测试环境========
[2020-07-09 11:08:40,731] - INFO: 获取设备系统版本号成功...
[2020-07-09 11:08:40,792] - INFO: 获取设备名成功...
[2020-07-09 11:08:40,997] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-09 11:08:40,998] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-09 11:08:41,015] - INFO: desired_caps更新完成...
[2020-07-09 11:08:41,023] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-09 11:08:41,359] - INFO: 应用已安装...
