[2020-07-22 11:15:10,427] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:15:10,428] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:15:10,439] - INFO: desired_caps更新完成...
[2020-07-22 11:15:10,444] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:15:10,756] - INFO: 应用已安装...
[2020-07-22 11:15:11,388] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:15:19,717] - INFO: 驱动app打开成功...
[2020-07-22 11:15:50,334] - INFO: 登录成功，进入首页...
[2020-07-22 11:15:50,343] - INFO: 验证删除浴位
[2020-07-22 11:16:13,070] - INFO: ========测试完成========
[2020-07-22 11:17:05,463] - INFO: ========初始化测试环境========
[2020-07-22 11:17:05,680] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:17:05,743] - INFO: 获取设备名成功...
[2020-07-22 11:17:05,820] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:17:05,820] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:17:05,832] - INFO: desired_caps更新完成...
[2020-07-22 11:17:05,838] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:17:06,153] - INFO: 应用已安装...
[2020-07-22 11:17:06,796] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:17:14,914] - INFO: 驱动app打开成功...
[2020-07-22 11:17:45,295] - INFO: 登录成功，进入首页...
[2020-07-22 11:17:45,296] - INFO: 验证新增浴位
[2020-07-22 11:18:55,052] - INFO: 验证删除浴位
[2020-07-22 11:19:09,604] - INFO: ========测试完成========
[2020-07-22 11:21:38,746] - INFO: ========初始化测试环境========
[2020-07-22 11:21:39,104] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:21:39,160] - INFO: 获取设备名成功...
[2020-07-22 11:21:39,399] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:21:39,399] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:21:39,414] - INFO: desired_caps更新完成...
[2020-07-22 11:21:39,419] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:21:39,791] - INFO: 应用已安装...
[2020-07-22 11:21:40,652] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:21:51,180] - INFO: 驱动app打开成功...
[2020-07-22 11:22:21,664] - INFO: 登录成功，进入首页...
[2020-07-22 11:22:21,665] - INFO: 验证新增浴位
[2020-07-22 11:23:29,603] - INFO: 验证删除浴位
[2020-07-22 11:23:40,496] - INFO: ========测试完成========
[2020-07-22 11:25:33,978] - INFO: ========初始化测试环境========
[2020-07-22 11:25:34,387] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:25:34,444] - INFO: 获取设备名成功...
[2020-07-22 11:25:34,671] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:25:34,671] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:25:34,681] - INFO: desired_caps更新完成...
[2020-07-22 11:25:34,687] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:25:34,981] - INFO: 应用已安装...
[2020-07-22 11:25:35,864] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:25:43,470] - INFO: 驱动app打开成功...
[2020-07-22 11:26:13,528] - INFO: 登录成功，进入首页...
[2020-07-22 11:26:13,529] - INFO: 验证新增浴位
[2020-07-22 11:27:17,890] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:27:17,984] - INFO: 验证删除浴位
[2020-07-22 11:27:45,040] - ERROR: 获取可视元素失败：Message: 

[2020-07-22 11:27:45,487] - INFO: ========测试完成========
[2020-07-22 11:29:52,680] - INFO: ========初始化测试环境========
[2020-07-22 11:29:52,940] - INFO: 获取设备系统版本号成功...
[2020-07-22 11:29:52,993] - INFO: 获取设备名成功...
[2020-07-22 11:29:53,215] - INFO: 获取被测apk包的appPackage、appActivity成功...
[2020-07-22 11:29:53,215] - INFO: 开始更新desired_caps中的app及手机参数...
[2020-07-22 11:29:53,226] - INFO: desired_caps更新完成...
[2020-07-22 11:29:53,232] - INFO: 检查merchant_20200707_1.6.1.apk应用是否已安装...
[2020-07-22 11:29:53,516] - INFO: 应用已安装...
[2020-07-22 11:29:54,132] - INFO: -----开始执行用例：新增、编辑、高级设置、删除浴位设备-----
[2020-07-22 11:30:02,921] - INFO: 驱动app打开成功...
[2020-07-22 11:30:33,169] - INFO: 登录成功，进入首页...
[2020-07-22 11:30:33,170] - INFO: 验证新增浴位
[2020-07-22 11:31:44,316] - INFO: 验证编辑浴位
[2020-07-22 11:31:58,021] - INFO: 验证浴位高级设置
[2020-07-22 11:32:08,290] - INFO: 验证删除浴位
[2020-07-22 11:32:16,187] - INFO: ========测试完成========
